Provincia Prefijos DDI FechaAlta FechaUso Campana TipoLlamada Estado FechaEstado Comentarios
18 # Granada 958,858 858216384 27-may.-26 03-jun.-26 Orange PROGRESIVO CP SPAM 15-jun.-26
18 # Granada 958,858 858216382 27-may.-26 15-jun.-26 Orange PROGRESIVO CP
18 # Granada 958,858 858216441 27-may.-26
18 # Granada 958,858 858216418 27-may.-26
19 # Guadalajara 949,849 949149178 27-may.-26 27-may.-26 Orange PROGRESIVO CP
19 # Guadalajara 949,849 949149182 27-may.-26
19 # Guadalajara 949,849 949149101 27-may.-26
19 # Guadalajara 949,849 949149150 27-may.-26
19 # Guadalajara 949,849 949149064 27-may.-26
20 # Guipúzcoa 943,843 843751356 27-may.-26 27-may.-26 Orange PROGRESIVO CP
20 # Guipúzcoa 943,843 843751363 27-may.-26
20 # Guipúzcoa 943,843 843751371 27-may.-26
20 # Guipúzcoa 943,843 843751390 27-may.-26
20 # Guipúzcoa 943,843 843751407 27-may.-26
21 # Huelva 959,859 959688283 27-may.-26 27-may.-26 Orange PROGRESIVO CP SPAM 08-jun.-26
21 # Huelva 959,859 959688362 27-may.-26 08-jun.-26 Orange PROGRESIVO CP
21 # Huelva 959,859 959688265 27-may.-26
21 # Huelva 959,859 959688214 27-may.-26
21 # Huelva 959,859 959688154 27-may.-26
22 # Huesca 974,874 974520168 27-may.-26 27-may.-26 Orange PROGRESIVO CP
22 # Huesca 974,874 974520148 27-may.-26
22 # Huesca 974,874 974520170 27-may.-26
22 # Huesca 974,874 974520180 27-may.-26
22 # Huesca 974,874 974520050 27-may.-26
23 # Jaén 953,853 953979251 27-may.-26 27-may.-26 Orange PROGRESIVO CP
23 # Jaén 953,853 953979350 27-may.-26
23 # Jaén 953,853 953979370 27-may.-26
23 # Jaén 953,853 953979217 27-may.-26
23 # Jaén 953,853 953979275 27-may.-26
24 # León 987,887 887828156 27-may.-26 27-may.-26 Orange PROGRESIVO CP
24 # León 987,887 887828134 27-may.-26
24 # León 987,887 887828165 27-may.-26
24 # León 987,887 887828057 27-may.-26
24 # León 987,887 887828113 27-may.-26
25 # Lleida 973,873 873611406 27-may.-26 27-may.-26 Orange PROGRESIVO CP
25 # Lleida 973,873 873611419 27-may.-26
25 # Lleida 973,873 873611390 27-may.-26
25 # Lleida 973,873 873611456 27-may.-26
25 # Lleida 973,873 873611467 27-may.-26
26 # Rioja, La 941,841 941728402 27-may.-26 27-may.-26 Orange PROGRESIVO CP
26 # Rioja, La 941,841 941728414 27-may.-26
26 # Rioja, La 941,841 941728373 27-may.-26
26 # Rioja, La 941,841 941728458 27-may.-26
26 # Rioja, La 941,841 941728287 27-may.-26
27 # Lugo 982,882 982688372 27-may.-26 27-may.-26 Orange PROGRESIVO CP SPAM 03-jun.-26
27 # Lugo 982,882 982688394 27-may.-26 03-jun.-26 Orange PROGRESIVO CP
27 # Lugo 982,882 982688348 27-may.-26
27 # Lugo 982,882 982688424 27-may.-26
27 # Lugo 982,882 982688369 27-may.-26
28 # Madrid 91,81 919603877 26-may.-26 26-may.-26 Orange MANUAL SPAM 08-jun.-26
28 # Madrid 91,81 919603897 26-may.-26 27-may.-26 Orange PROGRESIVO_CP NODEALTA 08-jun.-26
28 # Madrid 91,81 919603910 26-may.-26 28-may.-26 Orange PROGRESIVO base SPAM 08-jun.-26
28 # Madrid 91,81 919603924 26-may.-26 28-may.-26 Orange PROGRESIVO base SPAM 03-jun.-26
28 # Madrid 91,81 919603929 26-may.-26 03-jun.-26 Orange PROGRESIVO base SPAM 18-jun.-26
29 # Málaga 951,952,851 951666632 27-may.-26 27-may.-26 Orange PROGRESIVO CP
29 # Málaga 951,952,851 951668539 27-may.-26
29 # Málaga 951,952,851 951663292 27-may.-26
29 # Málaga 951,952,851 951663507 27-may.-26
29 # Málaga 951,952,851 951661998 27-may.-26
30 # Murcia 968,868 868110732 27-may.-26 27-may.-26 Orange PROGRESIVO CP
30 # Murcia 968,868 868110746 27-may.-26
30 # Murcia 968,868 868110768 27-may.-26
30 # Murcia 968,868 868110789 27-may.-26
30 # Murcia 968,868 868110809 27-may.-26
31 # Navarra 948,848 848868430 27-may.-26 27-may.-26 Orange PROGRESIVO CP
31 # Navarra 948,848 848868453 27-may.-26
31 # Navarra 948,848 848868398 27-may.-26
31 # Navarra 948,848 848868491 27-may.-26
31 # Navarra 948,848 848868506 27-may.-26
32 # Ourense 988,888 988655384 27-may.-26 27-may.-26 Orange PROGRESIVO CP
32 # Ourense 988,888 988655372 27-may.-26
32 # Ourense 988,888 988655360 27-may.-26
32 # Ourense 988,888 988655486 27-may.-26
32 # Ourense 988,888 988655497 27-may.-26
33 # Asturias 984,985 984272598 27-may.-26 27-may.-26 Orange PROGRESIVO CP
33 # Asturias 984,985 984272608 27-may.-26
33 # Asturias 984,985 984272578 27-may.-26
33 # Asturias 984,985 984272649 27-may.-26
33 # Asturias 984,985 984272627 27-may.-26
34 # Palencia 979,879 979244162 27-may.-26 27-may.-26 Orange PROGRESIVO CP
34 # Palencia 979,879 979244190 27-may.-26
34 # Palencia 979,879 979244072 27-may.-26
34 # Palencia 979,879 979244083 27-may.-26
34 # Palencia 979,879 979244124 27-may.-26
35 # Las Palmas 928,828 828880890 27-may.-26 27-may.-26 Orange PROGRESIVO CP
35 # Las Palmas 928,828 828880921 27-may.-26
35 # Las Palmas 928,828 828880954 27-may.-26
35 # Las Palmas 928,828 828880961 27-may.-26
35 # Las Palmas 928,828 828880959 27-may.-26
36 # Pontevedra 986,886 886191272 27-may.-26 27-may.-26 Orange PROGRESIVO CP
36 # Pontevedra 986,886 886191429 27-may.-26
36 # Pontevedra 986,886 886191469 27-may.-26
36 # Pontevedra 986,886 886191283 27-may.-26
36 # Pontevedra 986,886 886191225 27-may.-26
37 # Salamanca 923,823 923799168 27-may.-26 27-may.-26 Orange PROGRESIVO CP
37 # Salamanca 923,823 923799183 27-may.-26
37 # Salamanca 923,823 923799079 27-may.-26
37 # Salamanca 923,823 923799026 27-may.-26
37 # Salamanca 923,823 923799176 27-may.-26
38 # Santa Cruz de Tenerife 922,822 822280297 27-may.-26 27-may.-26 Orange PROGRESIVO CP SPAM 17-jun.-26
38 # Santa Cruz de Tenerife 922,822 822280415 27-may.-26 17-jun.-26 Orange PROGRESIVO CP SPAM 19-jun.-26
38 # Santa Cruz de Tenerife 922,822 822280441 27-may.-26 19-jun.-26 Orange PROGRESIVO CP SPAM 22-jun.-26
38 # Santa Cruz de Tenerife 922,822 822280449 27-may.-26 22-jun.-26 Orange PROGRESIVO CP
38 # Santa Cruz de Tenerife 922,822 822280472 27-may.-26
39 # Cantabria 942,842 842910391 27-may.-26 27-may.-26 Orange PROGRESIVO CP SPAM 10-jun.-26
39 # Cantabria 942,842 842910409 27-may.-26 10-jun.-26 Orange PROGRESIVO CP
39 # Cantabria 942,842 842910340 27-may.-26
39 # Cantabria 942,842 842910350 27-may.-26
39 # Cantabria 942,842 842910460 27-may.-26
40 # Segovia 921,821 921278153 27-may.-26 27-may.-26 Orange PROGRESIVO CP
40 # Segovia 921,821 921278142 27-may.-26
40 # Segovia 921,821 921278193 27-may.-26
40 # Segovia 921,821 921278079 27-may.-26
40 # Segovia 921,821 921278123 27-may.-26
41 # Sevilla 954,955,854 854788622 27-may.-26 27-may.-26 Orange PROGRESIVO CP
41 # Sevilla 954,955,854 854788628 27-may.-26
41 # Sevilla 954,955,854 854788653 27-may.-26
41 # Sevilla 954,955,854 854788654 27-may.-26
41 # Sevilla 954,955,854 854788669 27-may.-26
42 # Soria 975,875 975179148 27-may.-26 27-may.-26 Orange PROGRESIVO CP
42 # Soria 975,875 975179131 27-may.-26
42 # Soria 975,875 975179194 27-may.-26
42 # Soria 975,875 975179059 27-may.-26
42 # Soria 975,875 975179171 27-may.-26
43 # Tarragona 977,877 877266752 27-may.-26 27-may.-26 Orange PROGRESIVO CP
43 # Tarragona 977,877 877266631 27-may.-26
43 # Tarragona 977,877 877266810 27-may.-26
43 # Tarragona 977,877 877266792 27-may.-26
43 # Tarragona 977,877 877266809 27-may.-26
44 # Teruel 978,878 978170156 27-may.-26 27-may.-26 Orange PROGRESIVO CP
44 # Teruel 978,878 978170068 27-may.-26
44 # Teruel 978,878 978170192 27-may.-26
44 # Teruel 978,878 978170074 27-may.-26
44 # Teruel 978,878 978170055 27-may.-26
45 # Toledo 925,825 825771358 27-may.-26 27-may.-26 Orange PROGRESIVO CP
45 # Toledo 925,825 825771348 27-may.-26
45 # Toledo 925,825 825771326 27-may.-26
45 # Toledo 925,825 825771464 27-may.-26
45 # Toledo 925,825 825771325 27-may.-26
46 # Valencia 960–963,860 960302904 27-may.-26 27-may.-26 Orange PROGRESIVO CP SPAM 10-jun.-26
46 # Valencia 960–963,860 960303141 27-may.-26 10-jun.-26 Orange PROGRESIVO CP SPAM 15-jun.-26
46 # Valencia 960–963,860 960303166 27-may.-26 15-jun.-26 Orange PROGRESIVO CP
46 # Valencia 960–963,860 960303192 27-may.-26
46 # Valencia 960–963,860 960303162 27-may.-26
47 # Valladolid 983,883 883871371 27-may.-26 27-may.-26 Orange PROGRESIVO CP
47 # Valladolid 983,883 883871391 27-may.-26
47 # Valladolid 983,883 883871328 27-may.-26
47 # Valladolid 983,883 883871325 27-may.-26
47 # Valladolid 983,883 883871416 27-may.-26
48 # Vizcaya 944,946,846 846630138 27-may.-26 27-may.-26 Orange PROGRESIVO CP
48 # Vizcaya 944,946,846 846630151 27-may.-26
48 # Vizcaya 944,946,846 846630173 27-may.-26
48 # Vizcaya 944,946,846 846630180 27-may.-26
48 # Vizcaya 944,946,846 846630135 27-may.-26
49 # Zamora 980,88 980219158 27-may.-26 27-may.-26 Orange PROGRESIVO CP
49 # Zamora 980,88 980219137 27-may.-26
49 # Zamora 980,88 980219196 27-may.-26
49 # Zamora 980,88 980219180 27-may.-26
49 # Zamora 980,88 980219118 27-may.-26
50 # Zaragoza 976,876 876219190 27-may.-26 27-may.-26 Orange PROGRESIVO CP
50 # Zaragoza 976,876 876219072 27-may.-26
50 # Zaragoza 976,876 876219101 27-may.-26
50 # Zaragoza 976,876 876219184 27-may.-26
50 # Zaragoza 976,876 876219064 27-may.-26
28 # Madrid 91,81 919603957 7-jun.-2026 08-jun.-26 Orange MANUAL SPAM 10-jun.-26
28 # Madrid 91,81 919603977 7-jun.-2026 08-jun.-26 Orange PROGRESIVO base SPAM 17-jun.-26
28 # Madrid 91,81 919603996 7-jun.-2026 08-jun.-26 Orange PROGRESIVO CP SPAM 10-jun.-26
28 # Madrid 91,81 919604018 7-jun.-2026 10-jun.-26 Orange MANUAL SPAM 10-jun.-26
28 # Madrid 91,81 919604038 7-jun.-2026 10-jun.-26 Orange PROGRESIVO CP SPAM 22-jun.-26
28 # Madrid 91,81 919604026 10-jun.-26 10-jun.-26 Orange MANUAL SPAM 17-jun.-26
28 # Madrid 91,81 919604041 10-jun.-26 17-jun.-26 Orange MANUAL SPAM 18-jun.-26
28 # Madrid 91,81 919604072 10-jun.-26 17-jun.-26 Orange PROGRESIVO base SPAM 19-jun.-26
28 # Madrid 91,81 919604094 10-jun.-26 18-jun.-26 Orange MANUAL SPAM 19-jun.-26
28 # Madrid 91,81 919604103 10-jun.-26 18-jun.-26 Orange PROGRESIVO base SPAM 19-jun.-26
28 # Madrid 91,81 919604205 10-jun.-26 19-jun.-26 Orange MANUAL
28 # Madrid 91,81 919604083 19-jun.-26 19-jun.-26 Orange PROGRESIVO base
28 # Madrid 91,81 919601149 19-jun.-26 19-jun.-26 Orange MANUAL SPAM 22-jun.-26
28 # Madrid 91,81 919601657 19-jun.-26 22-jun.-26 Orange PROGRESIVO CP
28 # Madrid 91,81 919601877 19-jun.-26 22-jun.-26 Orange MANUAL
28 # Madrid 91,81 919601878 19-jun.-26 22-jun.-26 Orange PROGRESIVO base
